company,city,country,component,location_source_url,component_source_url,confidence,notes
bayerische motoren werke,Munich,Germany,premium passenger vehicles & motorcycles,https://en.wikipedia.org/wiki/BMW,https://en.wikipedia.org/wiki/BMW,high,"HQ Petuelring 130, Munich. Brands BMW/MINI/Rolls-Royce + BMW Motorrad. Automaker, so product kept at vehicle level."
mercedes-benz,Stuttgart,Germany,premium passenger cars & vans,https://group.mercedes-benz.com/careers/about-us/locations/location-detail-page-5135.html,https://www.dnb.com/business-directory/company-profiles.mercedes-benz_group_ag.396e0be4f0412dfa7f5469881b24b47b.html,high,HQ Mercedesstrasse 120 Stuttgart. Mercedes-Benz Group AG (formerly Daimler).
toyota motor,Toyota City,Japan,passenger vehicles (incl. hybrids),https://global.toyota/en/company/profile/overview/index.html,https://global.toyota/en/company/profile/overview/index.html,high,"HQ Toyota City, Aichi. World's largest automaker; strong hybrid/FCEV line."
volkswagen,Wolfsburg,Germany,passenger & commercial vehicles,https://www.volkswagen-group.com/en/about-us-16013,https://www.volkswagen-group.com/en/about-us-16013,high,HQ Wolfsburg; world's largest single car plant on site.
tesla,Austin,United States,battery-electric vehicles,https://www.tesla.com/giga-texas,https://www.globaldata.com/company-profile/tesla-inc/,high,"HQ moved to Giga Texas, Austin in 2021. Also stationary battery storage/solar."
robert bosch,Gerlingen,Germany,automotive fuel-injection & electronic control systems,https://en.wikipedia.org/wiki/Bosch_(company),https://en.wikipedia.org/wiki/Bosch_(company),medium,"HQ Gerlingen. Highly diversified (Mobility, Industrial, Consumer, Energy). Component shown = flagship automotive line; world's largest auto-parts supplier."
byd,Shenzhen,China,battery-electric vehicles,https://en.wikipedia.org/wiki/BYD_Company,https://en.wikipedia.org/wiki/BYD_Company,high,HQ Shenzhen. Also world #2 EV-battery maker (Blade LFP) via FinDreams; EVs are primary output.
magna international,Aurora,Canada,automotive body/chassis & seating systems,https://en.wikipedia.org/wiki/Magna_International,https://en.wikipedia.org/wiki/Magna_International,medium,"HQ Aurora, Ontario. Diversified mega-supplier; also contract vehicle assembly (Magna Steyr). Compressed to flagship lines."
zf friedrichshafen,Friedrichshafen,Germany,automotive transmissions & chassis systems,https://en.wikipedia.org/wiki/ZF_Friedrichshafen,https://en.wikipedia.org/wiki/ZF_Friedrichshafen,high,HQ Friedrichshafen. Best known specifically for automatic transmissions; absorbed TRW (safety systems).
hyundai mobis,Seoul,South Korea,automotive chassis & cockpit modules,https://en.wikipedia.org/wiki/Hyundai_Mobis,https://en.wikipedia.org/wiki/Hyundai_Mobis,high,"HQ Seoul (Gangnam). Parts/module arm of Hyundai/Kia/Genesis; also lamps, braking, electrification."
posco future m,Pohang,South Korea,battery cathode & anode materials,https://en.wikipedia.org/wiki/POSCO_Future_M,https://www.poscofuturem.com/en/business/energy.do,high,"HQ 110 Sinhang-ro, Nam-gu, Pohang. Formerly POSCO Chemical (renamed 2023). Only Korean maker of both cathode & anode; plants Gwangyang/Pohang."
hansol chemical,Seoul,South Korea,hydrogen peroxide & semiconductor process chemicals,https://stockanalysis.com/quote/krx/014680/company/,https://www.zoominfo.com/c/hansol-chemical-co-ltd/351708192,high,HQ Seoul; production plants Jeonju & Ulsan. Ex-Samsung Group affiliate. Also battery binders/display materials.
kumho petrochemical,Seoul,South Korea,styrene-butadiene synthetic rubber,https://en.wikipedia.org/wiki/Kumho_Petrochemical,https://en.wikipedia.org/wiki/Kumho_Petrochemical,high,HQ Seoul; plants Yeosu/Ulsan. World's largest SBR/BR capacity; also synthetic resins.
murata manufacturing,Nagaokakyo,Japan,multilayer ceramic capacitors (MLCC),https://en.wikipedia.org/wiki/Murata_Manufacturing,https://en.wikipedia.org/wiki/Murata_Manufacturing,high,"HQ Nagaokakyo, Kyoto. World MLCC leader (~40% share); also inductors, RF, sensors."
asahi kasei,Tokyo,Japan,lithium-ion battery separators (Hipore),https://en.wikipedia.org/wiki/Asahi_Kasei,https://www.asahi-kasei.com/news/2025/e250731.html,medium,"HQ Chiyoda, Tokyo. Diversified conglomerate (chemicals, homes, healthcare); Hipore = world-leading Li-ion separator, the supply-chain-relevant slice."
tokai carbon,Tokyo,Japan,graphite electrodes & carbon black,https://en.wikipedia.org/wiki/Tokai_Carbon,https://www.tokaicarbon.co.jp/en/products/graphite/summary/,high,"HQ Minato, Tokyo. Graphite electrodes (steel EAFs) + carbon black (tire reinforcement) are the two core lines."
