company,component,confidence
bayerische motoren werke,premium passenger vehicles & motorcycles,high
mercedes-benz,premium passenger cars & vans,high
toyota motor,passenger vehicles (incl. hybrids),high
volkswagen,passenger & commercial vehicles,high
tesla,battery-electric vehicles,high
robert bosch,automotive fuel-injection & electronic control systems,medium
byd,battery-electric vehicles,high
magna international,automotive body/chassis & seating systems,medium
zf friedrichshafen,automotive transmissions & chassis systems,high
hyundai mobis,automotive chassis & cockpit modules,high
posco future m,battery cathode & anode materials,high
hansol chemical,hydrogen peroxide & semiconductor process chemicals,high
kumho petrochemical,styrene-butadiene synthetic rubber,high
murata manufacturing,multilayer ceramic capacitors (MLCC),high
asahi kasei,lithium-ion battery separators (Hipore),medium
tokai carbon,graphite electrodes & carbon black,high
nichias,industrial thermal insulation & sealing gaskets,high
sunwoda electronic,lithium-ion battery cells & packs,high
zeon,specialty synthetic rubber (HNBR/polybutadiene),high
nan ya plastics,PVC & polyester plastics (also copper-clad laminates),medium
krakatau steel persero tbk pt,hot-rolled & cold-rolled steel coil,high
gunung raja paksi tbk pt,hot-rolled steel plate & sections,high
waskita karya persero tbk pt,precast concrete & infrastructure construction,medium
medco energi internasional tbk pt,crude oil & natural gas (upstream E&P),high
tenaris,seamless & welded steel pipe (OCTG),medium
stellantis,passenger & light commercial vehicles,high
great wall motor,SUVs & pickup trucks,high
nio,battery-electric vehicles,high
guangzhou automobile,passenger vehicles (incl. Aion BEVs),high
nissan motor,passenger vehicles,high
china faw,passenger vehicles & trucks,high
nexen tire,automotive tires,high
forvia se,automotive seating & interior systems,high
wooshin systems,automotive body-assembly & EV battery production equipment,high
baic bluepark new energy technology,battery-electric vehicles,high
eicher motors,motorcycles (Royal Enfield mid-size),high
hyundai transys,automotive transmissions & seats,high
saic volkswagen automotive,passenger vehicles,high
nexteer automotive,electric power steering & driveline systems,high
xpeng,battery-electric vehicles,high
gotion high-tech,lithium iron phosphate (LFP) battery cells,high
schaeffler,rolling bearings & precision drivetrain components,high
adient,automotive seating systems,high
valeo se,"automotive lighting, thermal & driving-assistance systems",high
shanghai jiao yun,automotive powertrain & body component assemblies,medium
audi,premium passenger vehicles,high
denso,automotive thermal & powertrain systems,high
kyb,shock absorbers & hydraulic systems,high
toyota boshoku,"automotive seats, interior trim & filters",high
changan ford automobile,passenger vehicles,high
guangqi honda automobile,passenger vehicles,high
haima automobile,passenger vehicles & EVs,medium
jiangling motor holding,light trucks & commercial vehicles,high
linamar,machined powertrain & driveline components,high
vinfast auto,battery-electric vehicles,high
sanyang motor,scooters & motorcycles,high
zotye automobile,passenger vehicles (fuel & NEV),medium
dae won kang up,automotive suspension springs,high
changchun yidong clutch,automotive diaphragm-spring clutches,high
dy,automotive wiper systems & small motors,medium
iav automotive engineering,automotive powertrain & software engineering services,high
munjal showa,"shock absorbers, struts & front forks",high
fisker,battery-electric vehicles (Ocean SUV),medium
polestar automotive holding uk,battery-electric vehicles,medium
shenyang jinbei automotive,light commercial vehicles (vans & minibuses),high
atlas honda,motorcycles,high
gm korea,passenger vehicles,high
yeong hwa metal,automotive iron castings (engine & chassis parts),high
dongfeng electronic technology,automotive electronics (cockpit/body & e-drive systems),high
honda atlas cars pakistan,passenger vehicles,high
jay ushin,automotive locksets & security systems,high
nwtn,battery-electric vehicles (Rabdan One),medium
topre,automotive stamped/pressed body parts,medium
grupo simec sab de cv,special-bar-quality (SBQ) & structural steel,high
vallourec saca,seamless steel tubes,medium
indian oil,refined fuels & SERVO lubricants,high
ningbo shanshan,lithium-ion battery anode materials (synthetic graphite),high
taiwan cement,cement (Portland & low-carbon),high
sumitomo chemical,engineering plastics & Li-ion battery materials,medium
daikin industries,fluoropolymers & fluoroelastomers,medium
cx technology,cold-forged metal & automotive speaker components,high
corteva,crop-protection chemicals & seeds,medium
nsk,rolling bearings (automotive & industrial),high
minebea mitsumi,miniature ball bearings & electronic components,high
saudi basic industries,polyolefins & engineering thermoplastics,medium
asiana airlines,air passenger & cargo transport,high
taeyang metal industrial,automotive fasteners (high-strength bolts & nuts),high
hyundai rotem,automotive production-line & press plant equipment,medium
lucky cement,cement,high
lg electronics,automotive infotainment & EV powertrain components,medium
shanghai huayi,acetic acid & methanol (basic chemicals),medium
eurogroup laminations,electric-motor stator & rotor core laminations,high
seah besteel,special/alloy steel & heavy forgings,high
press kogyo,pressed truck chassis frames & stampings,high
grupo pochteca sab de cv,industrial chemical & raw-material distribution,high
dongil industries,special steel bars & ferroalloys,medium
kyowakogyosyo,automotive transmission (AT/CVT) & steering/suspension forged parts; core business is bolts/gears for construction machinery,high
zhejiang huayou cobalt,cobalt & ternary battery precursor materials,high
alcoa,primary aluminium & alumina,high
tata steel,flat-rolled automotive steel,high
cngr advanced material,nickel-cobalt ternary battery precursor materials,high
iron force industrial,automotive safety-system precision metal parts,high
ternium,flat-rolled steel,medium
hitachi,automotive systems (Hitachi Astemo: powertrain/brakes/EV motors),medium
hyundai engineering & construction,infrastructure & plant construction (EPC),high
unipres,stamped auto body panels,high
china petroleum & chemical,refined fuels & petrochemicals,high
san shing fastech,steel nuts & fasteners,high
e1,LPG (liquefied petroleum gas) import & distribution,high
sony,CMOS image sensors,medium
seojin system,EV battery die-cast housings & aluminium enclosures,medium
hunan corun new energy,nickel-metal-hydride (Ni-MH) battery cells,high
pp persero tbk pt,infrastructure & building construction (EPC),high
hyundai motor,passenger vehicles,high
geely automobile,passenger vehicles,high
saic motor,passenger vehicles,high
hero motocorp,motorcycles & scooters,high
renault,passenger & light commercial vehicles,high
