company,known_location,event_description
petrochina,"Jilin City, Jilin, China","An explosion at a benzene and aniline plant killed eight people and discharged ~100 tonnes of benzene into the Songhua River, cutting water supply to Harbin for days."
chevron,"Richmond, California, USA","A crude unit failure caused a large fire at the Richmond refinery, sending 15,000 residents to hospital and cutting West Coast refining capacity for over a year."
dow,"Texas Gulf Coast, USA","Hurricane Harvey made landfall as a Category 4 storm and dropped over 60 inches of rain on the Texas Gulf Coast, shutting a large share of US ethylene, polyethylene and chlor-alkali capacity for weeks."
xinxiang tianli energy,"Henan province, China","Typhoon In-fa remnants dumped a year's rain on Henan province in three days, flooding Zhengzhou and Xinxiang and halting industrial output, coal logistics and power infrastructure across the province."
coronado global resources,China / Australia,"China halted customs clearance of Australian coal amid a bilateral political dispute, stranding cargoes offshore and forcing global metallurgical and thermal coal trade flows to re-route."
gazprom pjsc,Russia / Germany (Nord Stream 1),"Gazprom progressively cut and then halted Nord Stream 1 deliveries to Europe citing turbine maintenance, removing the single largest source of European industrial gas supply."
yunnan chihong zinc&germanium,China,"China imposed export licensing on gallium and germanium compounds used in compound semiconductors, infrared optics and fibre, citing national security."
korea electric power,South Korea (national),A late-summer heatwave combined with reactor outages forced KEPCO into unannounced nationwide rolling blackouts affecting ~2 million households and industrial users.
glencore,Democratic Republic of Congo,"The DRC suspended all cobalt exports for four months to arrest a price collapse, prompting force majeure declarations and stranding output at the world's dominant cobalt source."
formosa petrochemical,"Mailiao, Yunlin County, Taiwan","An LPG leak triggered a fire and explosion at the ARO-3 aromatics unit of the Mailiao petrochemical complex, forcing evacuation of 10,000 residents and an 18-month unit shutdown."
kyushu electric power,"Kyushu, Japan","Kyushu Electric became the first mainland Japanese utility to curtail utility-scale solar output, repeatedly ordering generators offline to maintain grid stability during low-demand periods."
nippon steel,"Tohoku region, Japan","Magnitude 9.0 earthquake and tsunami struck northeastern Japan, destroying coastal industrial plant and triggering nationwide production stoppages across steel, auto and electronics supply chains."
state grid corp of china,China (multi-province),"Coal shortages and 'dual control' energy-intensity targets triggered power rationing across more than 20 provinces, forcing rolling industrial shutdowns in China's manufacturing heartland."
united co rusal international pjsc,Russia / global,"OFAC designated Rusal and its parent En+ under Russia sanctions, shocking aluminium and alumina markets and forcing global buyers into emergency wind-down and re-sourcing."
china steel,USA / global,"The US imposed Section 232 tariffs of 25% on steel and 10% on aluminium imports on national-security grounds, restructuring global steel trade flows and quota arrangements."
mitsubishi materials,"Yokkaichi, Mie, Japan","An explosion while cleaning hydrogen-purification heat-exchanger equipment killed five workers and suspended production at the Yokkaichi polysilicon plant, a semiconductor-grade silicon source."
formosa plastics,"Texas, USA","Winter Storm Uri collapsed the ERCOT grid and gas system, freezing Gulf Coast petrochemical plants; PVC, epichlorohydrin and ethylene glycol producers declared force majeure with ~100% of epichlorohydrin offline."
cpc corp/taiwan,"Kaohsiung, Taiwan","A buried propene pipeline leak caused a series of underground gas explosions that tore up several kilometres of city streets, killing 32 and severing the Kaohsiung petrochemical distribution network."
xiamen tungsten,China / Japan,"China informally halted rare earth exports to Japan amid the Senkaku/Diaoyu trawler dispute, exposing Japanese magnet, motor and electronics chains to a single-source chokepoint."
bp,"Gulf of Mexico, USA","Blowout and explosion on the Deepwater Horizon rig killed 11 workers and caused the largest marine oil spill in history, triggering a US deepwater drilling moratorium."
yunnan aluminium,"Yunnan province, China","Yunnan ordered aluminium smelters to cut electricity use 15-30% as drought crippled hydropower, removing an estimated 0.8-1.6Mt of primary aluminium capacity."
aurizon,"Queensland, Australia","Queensland's worst flooding in decades submerged coal basins and severed the Goonyella and Blackwater rail corridors, triggering force majeure across metallurgical coal exports."
basf se,"Ludwigshafen, Germany","Russian pipeline gas cuts drove European gas prices to records, forcing BASF to curtail ammonia production at Ludwigshafen and prompting Europe-wide chemical output reductions."
s-oil,"Ulsan, South Korea","An explosion during restart of the No.2 alkylation unit at the Onsan refinery killed one and injured nine, shutting the alkylation, No.2 RFCC and No.2 paraxylene units."
posco,"Pohang, South Korea","Super Typhoon Hinnamnor flooded POSCO's Pohang works with ~500mm of rain, forcing the first full shutdown of all three blast furnaces in 49 years plus an electrical-room fire."
hesteel,"Hebei province, China","Typhoon Doksuri's remnants produced the heaviest rain in 140 years across Beijing and Hebei, flooding steel, coal and logistics infrastructure across the North China industrial belt."
aneka tambang tbk,Indonesia,"Indonesia banned all nickel ore exports two years ahead of schedule to force domestic downstream processing, cutting off the largest global source of nickel ore feedstock."
perusahaan perseroan persero pt perusahaan listrik negara,"Java, Indonesia",A transmission failure on the Java-Bali grid caused a mass blackout across Jakarta and West Java affecting tens of millions of people and halting industrial estates for up to nine hours.
exxon mobil,"Louisiana / Mississippi, USA","Hurricane Katrina made landfall as a Category 3 storm, flooding the Chalmette refinery and shutting a large share of US Gulf refining, offshore production and chemical feedstock supply."
